Generation,PopBest,PopAvg,BestOverall
0,-149419,3,-720727,4,-149419,3
1,1300657,-648174,1,1300657
2,750399,8,-605735,4,1300657
3,300677,8,-764471,6,1300657
4,610,4683,-770711,1300657
5,-149339,5,-708202,5,1300657
6,50655,09,-655713,9,1300657
7,680,0987,-774451,6,1300657
8,400617,4,-730713,3,1300657
9,100540,3,-640708,1300657
10,300547,1,-720673,8,1300657
11,550618,1,-638167,1,1300657
12,50537,31,-735675,2,1300657
13,50667,22,-708212,7,1300657
14,50630,47,-676935,3,1300657
15,-149378,5,-756968,4,1300657
16,300627,8,-675705,9,1300657
17,550658,1,-660696,6,1300657
18,-149449,6,-743226,7,1300657
19,250520,3,-790673,3,1300657
20,750685,9,-730713,6,1300657
21,50547,53,-685706,1,1300657
22,250540,2,-721950,7,1300657
23,750638,-549432,4,1300657
24,250622,5,-619443,4,1300657
25,-149419,4,-736962,1300657
26,50690,5,-709438,3,1300657
27,300630,6,-689452,4,1300657
28,300672,4,-775685,6,1300657
29,-149323,-724455,2,1300657

