Generation,PopBest,PopAvg,BestOverall
0,300329,5,-635744,7,300329,5
1,-399373,2,-790755,9,300329,5
2,250500,5,-762023,9,300329,5
3,-149383,6,-751972,2,300329,5
4,300590,6,-749456,1,300590,6
5,300519,8,-728194,6,300590,6
6,50681,81,-673186,9,300590,6
7,300640,4,-668194,7,300640,4
8,100669,8,-750722,6,300640,4
9,750329,7,-700704,9,750329,7
10,50525,03,-690734,6,750329,7
11,1000668,-718202,4,1000668
12,-149489,5,-674457,4,1000668
13,-349499,3,-766947,4,1000668
14,300600,6,-764441,3,1000668
15,50615,81,-778212,3,1000668
16,300662,8,-740725,3,1000668
17,300505,8,-705720,2,1000668
18,550686,7,-741958,8,1000668
19,550600,3,-708199,7,1000668
20,350547,8,-573181,6,1000668
21,550517,1,-660678,5,1000668
22,300542,-629473,8,1000668
23,550628,1,-648189,7,1000668
24,1000527,-620670,8,1000668
25,550547,4,-746955,1,1000668
26,500507,1,-663161,1,1000668
27,250593,-648168,6,1000668
28,50557,78,-774470,3,1000668
29,50611,41,-756951,1,1000668

