Generation,PopBest,PopAvg,BestOverall
0,550530,-713218,4,550530
1,300600,6,-694425,1,550530
2,50545,88,-719413,6,550530
3,250560,6,-735704,4,550530
4,250680,9,-641949,6,550530
5,750550,6,-649458,6,750550,6
6,50631,25,-756948,6,750550,6
7,300517,4,-778195,8,750550,6
8,100677,1,-750721,5,750550,6
9,660,1833,-751969,6,750550,6
10,50328,59,-670704,8,750550,6
11,300606,7,-640701,1,750550,6
12,500657,3,-553168,8,750550,6
13,250369,8,-668204,2,750550,6
14,250671,9,-736979,8,750550,6
15,-149303,8,-739435,9,750550,6
16,300628,1,-685665,4,750550,6
17,500520,6,-634465,4,750550,6
18,50621,47,-636944,9,750550,6
19,50546,97,-699442,5,750550,6
20,250667,9,-814445,8,750550,6
21,300500,4,-640690,1,750550,6
22,50597,59,-734434,6,750550,6
23,-149475,3,-816970,1,750550,6
24,300689,6,-699466,3,750550,6
25,50630,59,-691991,6,750550,6
26,750500,6,-568203,4,750550,6
27,500680,6,-680672,8,750550,6
28,300687,8,-781970,750550,6
29,300630,8,-708206,1,750550,6

