Generation,PopBest,PopAvg,BestOverall
0,500561,5,-729511,5,500561,5
1,500674,7,-673208,6,500674,7
2,1050677,-635690,3,1050677
3,550628,1,-641956,3,1050677
4,300517,3,-711942,3,1050677
5,50697,66,-686951,3,1050677
6,300666,3,-688193,6,1050677
7,-149312,4,-728239,1,1050677
8,50437,94,-754482,6,1050677
9,50520,81,-719492,9,1050677
10,550500,4,-709501,7,1050677
11,500690,7,-699452,9,1050677
12,250640,9,-733152,1,1050677
13,-149349,5,-764447,9,1050677
14,531,8097,-734459,7,1050677
15,250580,6,-685721,9,1050677
16,-199317,9,-771940,8,1050677
17,550648,1,-728179,1050677
18,50557,69,-761963,1,1050677
19,1000561,-601959,9,1050677
20,750639,5,-610703,6,1050677
21,550677,8,-695706,1050677
22,500690,2,-590691,9,1050677
23,300600,6,-704455,6,1050677
24,300550,6,-645704,6,1050677
25,-149500,5,-739473,5,1050677
26,1000550,-662006,8,1050677
27,50509,78,-764502,3,1050677
28,50656,06,-703203,5,1050677
29,50671,63,-660712,7,1050677

