Generation,PopBest,PopAvg,BestOverall
0,500598,1,-724472,4,500598,1
1,550670,6,-665706,5,550670,6
2,300670,6,-725720,6,550670,6
3,500608,1,-690707,6,550670,6
4,100550,6,-744460,6,550670,6
5,1000571,-635678,9,1000571
6,50680,53,-781966,6,1000571
7,300525,9,-750705,9,1000571
8,750540,6,-734447,8,1000571
9,300410,9,-634455,3,1000571
10,-149302,9,-779476,3,1000571
11,250520,9,-729463,8,1000571
12,-149444,6,-716962,9,1000571
13,550666,5,-720686,8,1000571
14,750560,6,-711946,1,1000571
15,750675,4,-761975,3,1000571
16,100540,5,-805709,1,1000571
17,660,6802,-798236,1,1000571
18,620,6314,-851957,6,1000571
19,750670,6,-700730,4,1000571
20,50640,44,-698228,2,1000571
21,250622,6,-729444,9,1000571
22,100667,3,-773199,5,1000571
23,300499,8,-751966,6,1000571
24,250681,5,-738229,2,1000571
25,-149309,4,-698195,8,1000571
26,100677,-695716,8,1000571
27,550537,7,-669443,3,1000571
28,250681,9,-646950,1,1000571
29,550540,6,-649418,6,1000571

