Generation,PopBest,PopAvg,BestOverall
0,50670,53,-719482,8,50670,53
1,300547,1,-713249,6,300547,1
2,250625,9,-669477,4,300547,1
3,-149322,8,-762011,1,300547,1
4,680,6341,-773239,2,300547,1
5,250510,2,-731985,6,300547,1
6,-149540,3,-745735,1,300547,1
7,550440,6,-710759,9,550440,6
8,750589,8,-784500,9,750589,8
9,522,9584,-728289,4,750589,8
10,500,6613,-724514,4,750589,8
11,300614,9,-683211,2,750589,8
12,1000548,-684521,1,1000548
13,300639,8,-578250,8,1000548
14,300399,8,-665750,9,1000548
15,-149452,9,-809526,7,1000548
16,50608,13,-728245,1,1000548
17,-149449,4,-756966,7,1000548
18,-199335,-816968,6,1000548
19,-149429,4,-654506,4,1000548
20,300557,9,-788256,5,1000548
21,550329,9,-651985,1,1000548
22,-149314,3,-805733,6,1000548
23,300529,8,-684476,9,1000548
24,-399392,6,-750741,3,1000548
25,100620,2,-749504,9,1000548
26,300659,8,-701980,8,1000548
27,50647,16,-784488,7,1000548
28,50580,56,-802023,1,1000548
29,530,1863,-763262,9,1000548

