Generation,PopBest,PopAvg,BestOverall
0,100520,1,-678253,2,100520,1
1,300640,9,-766993,7,300640,9
2,-199316,1,-724509,4,300640,9
3,-149439,3,-759540,5,300640,9
4,500546,3,-660742,6,500546,3
5,250600,6,-741984,1,500546,3
6,300539,9,-733241,1,500546,3
7,1000611,-643234,1,1000611
8,300660,6,-664464,4,1000611
9,-149681,3,-735759,3,1000611
10,-349359,4,-819472,9,1000611
11,-149580,4,-748257,9,1000611
12,-149443,9,-772026,9,1000611
13,50670,38,-729502,4,1000611
14,-349440,1,-776997,3,1000611
15,550618,1,-660756,6,1000611
16,1350325,-697008,7,1350325
17,50665,81,-660778,9,1350325
18,-149485,3,-724501,5,1350325
19,-349442,4,-689478,4,1350325
20,300611,-709502,9,1350325
21,100449,7,-714520,9,1350325
22,250562,7,-753273,9,1350325
23,-349380,1,-790757,1,1350325
24,300576,4,-738245,2,1350325
25,250690,6,-699475,3,1350325
26,300683,5,-639519,1,1350325
27,750539,6,-780763,4,1350325
28,250680,5,-688250,9,1350325
29,300575,4,-660760,5,1350325

