Generation,PopBest,PopAvg,BestOverall
0,1000658,-619529,1,1000658
1,300693,8,-676959,6,1000658
2,-449510,2,-786994,4,1000658
3,250676,4,-603202,5,1000658
4,100590,6,-715757,8,1000658
5,250507,4,-695751,6,1000658
6,-199489,4,-780771,2,1000658
7,50418,84,-732036,9,1000658
8,-199341,9,-809502,7,1000658
9,50644,5,-770751,1,1000658
10,750680,6,-645751,9,1000658
11,300547,7,-716972,4,1000658
12,-149414,6,-760745,4,1000658
13,300628,-665758,8,1000658
14,300547,3,-639492,9,1000658
15,-399334,-784473,1,1000658
16,550489,6,-675736,7,1000658
17,250517,8,-669479,2,1000658
18,300547,9,-633244,1,1000658
19,300644,3,-685735,1,1000658
20,550546,3,-663250,6,1000658
21,-149359,3,-793250,9,1000658
22,100610,6,-703236,1,1000658
23,550662,2,-673225,1000658
24,649,6495,-698280,2,1000658
25,100579,9,-595720,8,1000658
26,-149385,6,-695718,5,1000658
27,100517,6,-655745,5,1000658
28,500590,7,-669461,9,1000658
29,300530,6,-660735,1,1000658

