Generation,PopBest,PopAvg,BestOverall
0,50527,75,-689499,8,50527,75
1,50646,59,-638186,6,50646,59
2,550597,1,-589402,3,550597,1
3,50697,22,-620669,9,550597,1
4,1000658,-523157,6,1000658
5,750639,8,-456898,9,1000658
6,100576,1,-610667,3,1000658
7,100568,2,-690684,4,1000658
8,1750508,-571908,7,1750508
9,550537,6,-674407,7,1750508
10,1000698,-573167,4,1750508
11,550536,9,-455658,7,1750508
12,250671,7,-663183,3,1750508
13,300531,-611939,4,1750508
14,300656,3,-625671,9,1750508
15,500658,-591908,1,1750508
16,300617,5,-588155,1,1750508
17,100628,1,-666908,7,1750508
18,1600598,-535649,1750508
19,300637,8,-493134,7,1750508
20,300575,9,-566903,9,1750508
21,500597,2,-550661,7,1750508
22,550628,1,-530654,8,1750508
23,550666,6,-518139,2,1750508
24,100624,6,-493142,8,1750508
25,300626,3,-664396,2,1750508
26,550598,1,-491882,3,1750508
27,550537,9,-388148,9,1750508
28,1000678,-415634,7,1750508
29,750608,1,-595635,3,1750508

