Generation,PopBest,PopAvg,BestOverall
0,300419,3,-674501,300419,3
1,300647,2,-628216,4,300647,2
2,750527,8,-605662,5,750527,8
3,50617,78,-505635,4,750527,8
4,750627,9,-558143,2,750627,9
5,750680,6,-649393,7,750680,6
6,750517,6,-568163,5,750680,6
7,550507,2,-508159,1,750680,6
8,750617,9,-528149,7,750680,6
9,750527,8,-589407,4,750680,6
10,550697,9,-633158,1,750680,6
11,300688,-573154,8,750680,6
12,550656,3,-495641,1,750680,6
13,750658,1,-620646,6,750680,6
14,519,6693,-641929,6,750680,6
15,550572,6,-685688,1,750680,6
16,300506,-635667,6,750680,6
17,550598,1,-648145,4,750680,6
18,600567,1,-484396,9,750680,6
19,550687,8,-530635,7,750680,6
20,550657,9,-670635,9,750680,6
21,750628,-519385,3,750680,6
22,500603,1,-506889,8,750680,6
23,550668,1,-480634,3,750680,6
24,300607,5,-553152,1,750680,6
25,300555,9,-705674,4,750680,6
26,500657,7,-465639,9,750680,6
27,300608,1,-469393,4,750680,6
28,100598,1,-575640,1,750680,6
29,550598,1,-560647,3,750680,6

