Generation,PopBest,PopAvg,BestOverall
0,300628,1,-687025,1,300628,1
1,1300468,-570687,9,1300468
2,750577,6,-440633,3,1300468
3,750667,8,-468133,6,1300468
4,300507,8,-509394,8,1300468
5,550607,6,-350634,1300468
6,500577,8,-394382,7,1300468
7,100587,6,-484384,3,1300468
8,550567,6,-483135,6,1300468
9,750537,8,-390631,5,1300468
10,750667,8,-355648,2,1300468
11,750597,8,-386888,7,1300468
12,300507,4,-429385,4,1300468
13,750567,3,-489382,9,1300468
14,750546,9,-383131,8,1300468
15,550627,9,-355634,1,1300468
16,750647,8,-390635,4,1300468
17,400605,6,-450633,7,1300468
18,750567,8,-479384,9,1300468
19,550607,8,-355632,3,1300468
20,1000578,-308131,4,1300468
21,500662,3,-284382,6,1300468
22,750503,5,-436888,6,1300468
23,750608,-459382,3,1300468
24,300567,8,-408134,1,1300468
25,750577,9,-349391,8,1300468
26,1000698,-354386,2,1300468
27,500668,-311881,1,1300468
28,550567,8,-283134,7,1300468
29,750687,8,-363133,1,1300468

