Generation,PopBest,PopAvg,BestOverall
0,-149439,4,-735734,3,-149439,4
1,500650,5,-521914,1,500650,5
2,250550,5,-593145,6,500650,5
3,550640,6,-526890,9,550640,6
4,550640,6,-564388,6,550640,6
5,550640,6,-536887,1,550640,6
6,1000691,-541889,9,1000691
7,300640,6,-543141,1000691
8,1000621,-489388,9,1000691
9,50530,59,-636887,7,1000691
10,550620,6,-551887,4,1000691
11,750660,6,-509390,9,1000691
12,750580,6,-428137,1,1000691
13,300580,6,-560641,4,1000691
14,500660,6,-548139,9,1000691
15,550630,6,-668139,1,1000691
16,750690,6,-534391,4,1000691
17,300540,6,-544390,6,1000691
18,1000631,-453141,4,1000691
19,1000661,-444388,3,1000691
20,250640,5,-576891,1,1000691
21,1000581,-550637,6,1000691
22,550580,6,-556887,4,1000691
23,550650,6,-501891,7,1000691
24,550640,6,-513137,7,1000691
25,550640,6,-536887,5,1000691
26,750630,6,-495638,7,1000691
27,100670,6,-566895,9,1000691
28,550620,6,-518139,7,1000691
29,500640,6,-490641,7,1000691

