Generation,PopBest,PopAvg,BestOverall
0,300608,-683245,1,300608
1,300570,6,-539423,3,300608
2,1250648,-544408,9,1250648
3,250628,1,-683155,5,1250648
4,100586,3,-518141,3,1250648
5,750668,1,-556896,9,1250648
6,550618,1,-521891,6,1250648
7,900677,8,-493137,4,1250648
8,550607,9,-575649,8,1250648
9,550618,1,-576903,3,1250648
10,300628,1,-555648,9,1250648
11,1250648,-476891,6,1250648
12,750607,9,-464385,5,1250648
13,550657,3,-520638,6,1250648
14,300627,6,-613136,1,1250648
15,100648,1,-504398,2,1250648
16,300597,9,-565654,5,1250648
17,550608,1,-565648,1250648
18,800505,4,-494389,8,1250648
19,750695,4,-444387,3,1250648
20,1000598,-360647,8,1250648
21,500628,1,-479393,7,1250648
22,750526,9,-496883,9,1250648
23,500593,2,-540636,9,1250648
24,300647,9,-550674,1,1250648
25,550638,1,-480665,9,1250648
26,500577,5,-414398,5,1250648
27,300667,8,-533162,4,1250648
28,350427,4,-483149,4,1250648
29,750671,2,-484411,4,1250648

