Generation,PopBest,PopAvg,BestOverall
0,-149590,9,-740749,1,-149590,9
1,100631,8,-648191,6,100631,8
2,550607,9,-625650,4,550607,9
3,750636,3,-510640,1,750636,3
4,750636,2,-573143,9,750636,3
5,2050508,-561895,4,2050508
6,1000638,-440638,8,2050508
7,300656,6,-428134,3,2050508
8,1000687,-425643,2,2050508
9,500607,6,-548143,1,2050508
10,550647,6,-506889,9,2050508
11,50644,16,-586891,3,2050508
12,550628,1,-618141,9,2050508
13,50628,-610673,7,2050508
14,510,0217,-621933,1,2050508
15,500677,5,-665694,3,2050508
16,550633,2,-520675,1,2050508
17,300658,1,-634429,3,2050508
18,300665,6,-659418,2050508
19,750608,1,-521910,1,2050508
20,500517,6,-479391,3,2050508
21,1000598,-455632,7,2050508
22,300668,1,-596884,9,2050508
23,500646,9,-431887,8,2050508
24,1000698,-624386,5,2050508
25,550637,4,-419385,5,2050508
26,550648,1,-444386,6,2050508
27,750608,1,-379382,9,2050508
28,500598,1,-514386,3,2050508
29,300667,5,-506882,8,2050508

