Generation,PopBest,PopAvg,BestOverall
0,50686,91,-729507,8,50686,91
1,550653,5,-600666,3,550653,5
2,500547,8,-570661,4,550653,5
3,600607,4,-469388,8,600607,4
4,750489,8,-569431,2,750489,8
5,600507,5,-586989,5,750489,8
6,500617,9,-573161,6,750489,8
7,1000528,-520663,4,1000528
8,300557,8,-594418,2,1000528
9,1800578,-403156,7,1800578
10,500577,4,-531921,5,1800578
11,750537,5,-405661,1,1800578
12,300697,8,-490658,4,1800578
13,750627,9,-449413,3,1800578
14,550670,-474401,8,1800578
15,250637,4,-680683,6,1800578
16,300685,8,-555639,2,1800578
17,350597,1,-441889,5,1800578
18,300646,8,-638141,1800578
19,750697,6,-533142,3,1800578
20,500500,4,-578147,9,1800578
21,1100608,-543151,8,1800578
22,850577,8,-423150,8,1800578
23,800645,5,-616911,6,1800578
24,500618,1,-541921,3,1800578
25,350687,3,-523139,2,1800578
26,550631,4,-583140,8,1800578
27,1000678,-644394,1,1800578
28,300527,8,-640647,1,1800578
29,50615,03,-643142,6,1800578

