Generation,PopBest,PopAvg,BestOverall
0,300686,1,-678253,1,300686,1
1,100658,1,-616925,4,300686,1
2,300677,9,-590671,1,300686,1
3,1000668,-518150,2,1000668
4,550537,9,-495678,8,1000668
5,1000668,-558149,9,1000668
6,1000648,-648135,2,1000668
7,300667,9,-555644,8,1000668
8,1000658,-534390,6,1000668
9,50624,84,-616912,1,1000668
10,50620,31,-514389,3,1000668
11,550567,9,-634392,1,1000668
12,500617,9,-586884,8,1000668
13,300547,3,-601888,9,1000668
14,750618,1,-505640,7,1000668
15,750626,7,-471889,6,1000668
16,550618,1,-438135,8,1000668
17,550626,6,-544410,1,1000668
18,550616,9,-625640,6,1000668
19,500686,8,-541902,9,1000668
20,550658,1,-584398,9,1000668
21,300627,9,-628177,8,1000668
22,250570,6,-558145,2,1000668
23,100596,1,-650672,3,1000668
24,750608,1,-508165,8,1000668
25,500667,-546918,8,1000668
26,750598,-636894,5,1000668
27,550658,1,-548139,2,1000668
28,500527,7,-560643,1,1000668
29,1000638,-526885,4,1000668

