Generation,PopBest,PopAvg,BestOverall
0,500550,2,-634488,8,500550,2
1,500680,6,-615669,3,500680,6
2,300527,6,-601913,6,500680,6
3,800677,9,-550643,8,800677,9
4,800574,9,-655656,3,800677,9
5,500617,9,-489426,7,800677,9
6,1550688,-416901,3,1550688
7,300677,5,-618185,8,1550688
8,250572,4,-596965,3,1550688
9,500676,9,-561919,1,1550688
10,500627,8,-465671,1,1550688
11,350637,1,-669414,9,1550688
12,500627,4,-515664,1,1550688
13,250671,8,-591922,1,1550688
14,100659,9,-545679,9,1550688
15,250690,5,-634393,4,1550688
16,250533,3,-715644,8,1550688
17,50527,28,-586908,9,1550688
18,50660,56,-664400,4,1550688
19,1000557,-556889,3,1550688
20,300537,2,-514384,3,1550688
21,800528,-223143,5,1550688
22,1350668,-365643,3,1550688
23,300586,-478134,7,1550688
24,1000638,-374386,5,1550688
25,1000667,-329388,2,1550688
26,1750567,-306903,1750567
27,600697,8,-331884,3,1750567
28,750677,7,-413144,6,1750567
29,750605,-470649,5,1750567

