Generation,PopBest,PopAvg,BestOverall
0,-149342,1,-755733,2,-149342,1
1,500696,6,-548148,1,500696,6
2,1050657,-634485,2,1050657
3,750604,8,-679444,2,1050657
4,750522,9,-571923,9,1050657
5,300687,8,-515660,3,1050657
6,750677,3,-514399,7,1050657
7,550608,1,-476905,4,1050657
8,650687,6,-406885,9,1050657
9,550617,4,-546910,9,1050657
10,500651,1,-654403,3,1050657
11,750608,1,-533138,5,1050657
12,750537,7,-559390,2,1050657
13,750527,6,-653154,1,1050657
14,500601,3,-588146,1050657
15,550597,1,-601890,6,1050657
16,500647,6,-486887,6,1050657
17,500657,6,-513138,2,1050657
18,2350608,-314384,6,2350608
19,550587,7,-468138,9,2350608
20,1100618,-426886,5,2350608
21,1550668,-360635,9,2350608
22,2000668,-313152,3,2350608
23,1500685,-313139,3,2350608
24,550648,4,-493158,4,2350608
25,1250667,-410650,9,2350608
26,800688,-479395,5,2350608
27,550557,6,-318140,5,2350608
28,2100668,-320634,2,2350608
29,1300538,-249382,8,2350608

