Generation,PopBest,PopAvg,BestOverall
0,300647,-653231,9,300647
1,1000668,-590684,4,1000668
2,550597,6,-449403,8,1000668
3,500691,1,-464403,7,1000668
4,550595,2,-559387,6,1000668
5,50677,28,-680633,8,1000668
6,300656,3,-630637,6,1000668
7,550697,4,-548139,1,1000668
8,300617,5,-589399,1000668
9,1000621,-498138,8,1000668
10,300617,5,-571932,1,1000668
11,550667,8,-481902,8,1000668
12,550697,2,-549408,8,1000668
13,500630,6,-533135,7,1000668
14,300623,6,-636895,8,1000668
15,750667,9,-659394,1,1000668
16,100625,2,-620668,1,1000668
17,100668,1,-643149,1,1000668
18,1000608,-610653,4,1000668
19,550537,6,-510643,1,1000668
20,300638,1,-521917,9,1000668
21,1000598,-574399,9,1000668
22,300666,8,-595653,9,1000668
23,300662,9,-634399,1000668
24,50665,91,-664419,8,1000668
25,550537,9,-599402,5,1000668
26,-149352,6,-674389,8,1000668
27,550566,3,-621893,3,1000668
28,750648,1,-504393,8,1000668
29,500668,1,-584383,3,1000668

