Generation,PopBest,PopAvg,BestOverall
0,300522,9,-738258,6,300522,9
1,1000507,-691995,4,1000507
2,100547,9,-696947,2,1000507
3,550636,8,-545660,4,1000507
4,1550678,-570676,4,1550678
5,250630,6,-669438,6,1550678
6,300646,4,-676951,9,1550678
7,300516,1,-629436,4,1550678
8,500585,3,-586974,5,1550678
9,300685,8,-580699,4,1550678
10,1000668,-669462,1,1550678
11,300530,5,-583188,6,1550678
12,500521,6,-639445,6,1550678
13,300537,9,-599442,1,1550678
14,1000601,-668165,6,1550678
15,800680,6,-699421,7,1550678
16,300506,3,-665691,6,1550678
17,300619,9,-584432,4,1550678
18,1000511,-670664,5,1550678
19,1000561,-649421,5,1550678
20,100638,1,-688207,1,1550678
21,50667,91,-634429,1,1550678
22,300608,1,-675653,8,1550678
23,50657,59,-640664,3,1550678
24,300676,3,-593167,8,1550678
25,550608,1,-569422,1550678
26,1000598,-589410,9,1550678
27,500677,4,-740659,1,1550678
28,300379,8,-625696,1,1550678
29,750597,9,-605722,3,1550678

