Generation,PopBest,PopAvg,BestOverall
0,1000340,-611987,4,1000340
1,-199359,4,-779494,3,1000340
2,50687,72,-616930,8,1000340
3,550637,9,-666944,6,1000340
4,500649,8,-745712,6,1000340
5,800637,9,-688201,9,1000340
6,300547,6,-703219,1000340
7,300517,9,-625680,5,1000340
8,1250538,-596962,8,1250538
9,1250608,-551937,3,1250608
10,500642,2,-614428,8,1250608
11,50516,97,-700669,3,1250608
12,550587,4,-603195,6,1250608
13,1000608,-546928,3,1250608
14,550628,-601916,9,1250608
15,500506,6,-524428,8,1250608
16,500607,7,-593175,2,1250608
17,300682,4,-525667,6,1250608
18,1000668,-605698,6,1250608
19,50576,09,-714431,3,1250608
20,550607,9,-639423,6,1250608
21,500598,-551942,4,1250608
22,300658,1,-689451,6,1250608
23,1250548,-575705,9,1250608
24,100547,9,-666964,1,1250608
25,350575,9,-595683,9,1250608
26,50687,19,-681911,6,1250608
27,300618,1,-618205,9,1250608
28,500627,6,-644445,4,1250608
29,250527,8,-681906,9,1250608

