Generation,PopBest,PopAvg,BestOverall
0,-599309,4,-799499,7,-599309,4
1,250650,5,-650685,4,250650,5
2,750515,8,-674439,3,750515,8
3,500559,9,-629449,6,750515,8
4,500638,1,-726975,9,750515,8
5,50697,06,-685723,3,750515,8
6,750559,7,-566943,8,750559,7
7,550587,3,-701967,8,750559,7
8,50661,66,-745688,6,750559,7
9,750638,1,-654437,8,750638,1
10,750660,-496923,3,750660
11,1300548,-614456,1,1300548
12,300697,8,-526927,7,1300548
13,1000648,-594444,6,1300548
14,550598,-564406,1300548
15,300632,8,-685696,6,1300548
16,250630,4,-586922,3,1300548
17,550592,2,-514434,4,1300548
18,300677,6,-676966,5,1300548
19,250590,4,-658171,3,1300548
20,800677,8,-704436,7,1300548
21,500651,4,-653182,4,1300548
22,-149469,4,-716937,9,1300548
23,-199396,3,-799423,2,1300548
24,-149374,1,-748177,3,1300548
25,50681,06,-758164,6,1300548
26,1000571,-623203,3,1300548
27,300608,1,-834411,8,1300548
28,1000628,-608186,3,1300548
29,638,1038,-684420,7,1300548

