Generation,PopBest,PopAvg,BestOverall
0,399,8081,-710751,1,399,8081
1,500499,9,-692011,2,500499,9
2,1000507,-644483,1,1000507
3,1350628,-690706,9,1350628
4,100565,2,-721981,6,1350628
5,300689,8,-661948,8,1350628
6,50626,31,-715746,4,1350628
7,550655,9,-644456,2,1350628
8,300637,8,-623184,5,1350628
9,-149312,1,-736944,1,1350628
10,550647,9,-581941,9,1350628
11,500540,-579418,4,1350628
12,350694,1,-789458,1,1350628
13,1000675,-535674,6,1350628
14,100321,3,-613196,9,1350628
15,250634,3,-638207,1,1350628
16,1250608,-548193,3,1350628
17,628,0989,-748177,4,1350628
18,300536,9,-723190,2,1350628
19,300664,9,-645662,1,1350628
20,550598,1,-516920,9,1350628
21,250540,6,-668246,6,1350628
22,500600,7,-589477,5,1350628
23,500,6228,-740724,4,1350628
24,300625,6,-720695,9,1350628
25,750693,1,-539457,9,1350628
26,1250538,-564449,1,1350628
27,500680,7,-635702,6,1350628
28,-149483,6,-789449,3,1350628
29,1000510,-675698,4,1350628

