Generation,PopBest,PopAvg,BestOverall
0,300541,3,-708248,8,300541,3
1,600567,6,-635699,4,600567,6
2,750677,8,-650670,9,750677,8
3,1000598,-589434,4,1000598
4,250527,8,-651918,5,1000598
5,50687,56,-651913,4,1000598
6,50656,88,-575690,3,1000598
7,300656,6,-576923,9,1000598
8,300677,7,-573195,1,1000598
9,300658,1,-668168,6,1000598
10,350657,-621934,4,1000598
11,550638,1,-448158,6,1000598
12,1250548,-483192,9,1250548
13,1250661,-606906,6,1250661
14,300690,4,-720690,3,1250661
15,300439,3,-681962,9,1250661
16,550540,6,-666977,9,1250661
17,50645,03,-736935,1,1250661
18,550658,1,-654428,9,1250661
19,1000631,-558161,1,1250661
20,100602,4,-701946,5,1250661
21,50636,-729437,1250661
22,-149560,2,-690697,5,1250661
23,50685,13,-740724,6,1250661
24,750619,8,-690728,3,1250661
25,660,6406,-784492,6,1250661
26,300677,8,-719461,9,1250661
27,-149332,3,-778195,1250661
28,250690,8,-651950,1250661
29,500646,5,-663199,2,1250661

