Generation,PopBest,PopAvg,BestOverall
0,550349,8,-759492,8,550349,8
1,300439,6,-745749,2,550349,8
2,550670,5,-726978,8,550670,5
3,500640,7,-633195,2,550670,5
4,250600,8,-535653,6,550670,5
5,500560,6,-694415,8,550670,5
6,500500,6,-578175,4,550670,5
7,50580,53,-711917,1,550670,5
8,550676,7,-630652,9,550676,7
9,50630,75,-688155,3,550676,7
10,1000501,-560647,3,1000501
11,500506,3,-700648,7,1000501
12,500530,7,-691906,8,1000501
13,500500,6,-719404,5,1000501
14,300530,6,-635657,8,1000501
15,750596,9,-673163,1,1000501
16,550536,3,-594423,3,1000501
17,100450,5,-580669,1,1000501
18,350686,6,-686948,6,1000501
19,250554,5,-569400,7,1000501
20,1000658,-426886,6,1000658
21,1000638,-481894,1,1000658
22,750520,6,-556894,5,1000658
23,1000668,-610639,3,1000668
24,750667,9,-478135,3,1000668
25,300628,1,-548139,4,1000668
26,750512,9,-534395,1,1000668
27,1000668,-591913,1000668
28,250697,9,-613188,2,1000668
29,300329,8,-635726,4,1000668

