Generation,PopBest,PopAvg,BestOverall
0,50660,66,-785757,7,50660,66
1,300630,4,-715737,3,300630,4
2,550330,4,-534447,3,550330,4
3,1150688,-645729,5,1150688
4,100690,5,-823170,3,1150688
5,50660,47,-650649,7,1150688
6,500622,5,-654402,2,1150688
7,50603,59,-621904,4,1150688
8,500550,7,-853164,3,1150688
9,250670,9,-638172,1,1150688
10,500617,-635674,5,1150688
11,500657,4,-661909,3,1150688
12,850667,5,-675660,9,1150688
13,850566,4,-498147,3,1150688
14,1350687,-515673,6,1350687
15,300646,3,-545656,2,1350687
16,850697,9,-418153,4,1350687
17,750577,9,-549422,8,1350687
18,500685,4,-646914,1,1350687
19,550610,6,-703197,4,1350687
20,550597,4,-565672,1,1350687
21,100577,9,-595648,5,1350687
22,250693,9,-659395,9,1350687
23,500664,-510654,7,1350687
24,550649,9,-644419,9,1350687
25,50662,84,-611907,6,1350687
26,300685,8,-628148,4,1350687
27,800666,8,-468168,5,1350687
28,750539,9,-489421,2,1350687
29,750639,9,-528153,9,1350687

