Generation,PopBest,PopAvg,BestOverall
0,-199340,2,-779488,9,-199340,2
1,300616,5,-633193,7,300616,5
2,50539,84,-634460,6,300616,5
3,300636,3,-656926,2,300636,3
4,1000548,-601915,6,1000548
5,1000648,-545637,5,1000648
6,550591,1,-619394,5,1000648
7,300517,4,-654399,5,1000648
8,500668,1,-545633,3,1000648
9,750656,3,-481885,8,1000648
10,550687,6,-603139,8,1000648
11,550601,2,-698153,1,1000648
12,1250598,-559404,9,1250598
13,100667,8,-738170,5,1250598
14,300607,6,-615663,9,1250598
15,500612,9,-653144,6,1250598
16,750690,6,-488164,1,1250598
17,550517,8,-553153,8,1250598
18,250632,2,-596893,3,1250598
19,550620,6,-598147,9,1250598
20,300657,8,-644415,1250598
21,2350538,-568136,5,2350538
22,50687,-543147,1,2350538
23,300507,-676897,1,2350538
24,1250608,-533150,1,2350538
25,1000658,-558153,1,2350538
26,750527,6,-490663,4,2350538
27,550687,1,-508161,9,2350538
28,550695,8,-486888,8,2350538
29,300587,1,-535654,4,2350538

