Generation,PopBest,PopAvg,BestOverall
0,300647,9,-694507,4,300647,9
1,1100648,-468136,3,1100648
2,1000648,-646912,5,1100648
3,300597,8,-595645,6,1100648
4,500658,1,-443142,1,1100648
5,300665,7,-559389,8,1100648
6,550658,1,-544412,1100648
7,600625,4,-655647,1,1100648
8,300590,6,-624383,9,1100648
9,300697,9,-576894,1,1100648
10,1100678,-390636,9,1100678
11,1250527,-555635,6,1250527
12,550598,1,-499388,6,1250527
13,500571,1,-501900,8,1250527
14,500608,1,-576891,2,1250527
15,1050678,-373142,5,1250527
16,1550668,-484398,8,1550668
17,750587,4,-503142,4,1550668
18,500527,6,-609410,4,1550668
19,800557,5,-571895,1,1550668
20,550567,5,-598164,9,1550668
21,2300558,-425681,3,2300558
22,800693,9,-494411,8,2300558
23,300575,-586937,6,2300558
24,1250537,-500658,7,2300558
25,550627,3,-640654,3,2300558
26,300677,8,-601904,6,2300558
27,750537,9,-565693,1,2300558
28,50572,28,-686889,5,2300558
29,1250608,-554404,4,2300558

