Generation,PopBest,PopAvg,BestOverall
0,1000532,-777054,1,1000532
1,550533,4,-640677,4,1000532
2,250615,8,-715716,7,1000532
3,300644,9,-578160,9,1000532
4,550520,9,-655666,1,1000532
5,750665,4,-648141,1,1000532
6,750664,2,-498139,8,1000532
7,300647,3,-695675,3,1000532
8,300619,9,-625651,4,1000532
9,750628,1,-669434,9,1000532
10,750547,8,-544432,1000532
11,250697,-593144,1,1000532
12,550608,1,-499384,8,1000532
13,300648,1,-551893,9,1000532
14,300607,9,-600658,4,1000532
15,300681,2,-668158,1,1000532
16,550617,4,-656934,4,1000532
17,1050524,-569419,6,1050524
18,500607,7,-683171,4,1050524
19,50597,75,-655651,6,1050524
20,550657,9,-540662,3,1050524
21,1250525,-483154,6,1250525
22,300537,6,-611926,9,1250525
23,750641,8,-593154,1,1250525
24,350646,1,-705669,6,1250525
25,250618,-684420,9,1250525
26,1250527,-690691,1,1250527
27,750587,5,-459406,5,1250527
28,300667,7,-525703,7,1250527
29,1250632,-604419,9,1250632

