Generation,PopBest,PopAvg,BestOverall
0,550640,6,-645748,4,550640,6
1,1000638,-619468,9,1000638
2,500617,5,-551963,3,1000638
3,750690,5,-598182,2,1000638
4,-149357,2,-764466,1,1000638
5,550547,8,-693201,4,1000638
6,50517,81,-683180,9,1000638
7,-99386,38,-705749,8,1000638
8,-149332,1,-707015,9,1000638
9,300587,5,-680717,1,1000638
10,250521,3,-715746,6,1000638
11,250668,1,-655652,8,1000638
12,50525,25,-665706,4,1000638
13,300597,1,-750687,9,1000638
14,250591,8,-661934,8,1000638
15,-149339,4,-701983,9,1000638
16,550440,4,-738192,2,1000638
17,50677,78,-669467,8,1000638
18,500546,3,-728281,6,1000638
19,300417,9,-690743,1,1000638
20,50517,44,-721992,3,1000638
21,550586,2,-615746,9,1000638
22,300597,2,-690723,8,1000638
23,50527,34,-678212,6,1000638
24,-199580,3,-723295,1,1000638
25,50659,97,-674513,4,1000638
26,500667,9,-589431,3,1000638
27,500561,4,-645741,1,1000638
28,300511,5,-668252,3,1000638
29,-149359,3,-720777,4,1000638

