Generation,PopBest,PopAvg,BestOverall
0,250535,8,-768252,9,250535,8
1,500677,7,-735711,3,500677,7
2,500580,4,-788241,6,500677,7
3,250650,5,-673185,2,500677,7
4,750550,5,-634469,7,750550,5
5,100620,7,-700719,1,750550,5
6,100680,6,-765720,7,750550,5
7,300680,6,-726983,4,750550,5
8,300530,6,-705750,5,750550,5
9,50687,53,-750652,8,750550,5
10,300657,3,-696989,6,750550,5
11,100489,8,-691961,3,750550,5
12,800698,-630678,7,800698
13,300690,6,-646976,6,800698
14,300660,1,-614508,8,800698
15,100560,4,-727050,8,800698
16,100560,4,-781986,5,800698
17,750637,9,-693215,1,800698
18,500618,-693267,6,800698
19,300663,9,-619469,6,800698
20,50641,69,-719506,3,800698
21,50389,28,-765736,8,800698
22,-199600,2,-722003,9,800698
23,-399320,3,-775797,6,800698
24,300651,2,-762011,4,800698
25,250650,-683242,7,800698
26,550599,8,-690712,4,800698
27,250469,5,-560719,9,800698
28,300658,1,-714427,4,800698
29,350507,9,-709443,800698

