Generation,PopBest,PopAvg,BestOverall
0,300537,4,-673253,8,300537,4
1,250671,3,-590690,6,300537,4
2,300607,4,-588179,5,300607,4
3,550598,1,-584441,4,550598,1
4,1050658,-639434,7,1050658
5,300668,1,-740685,4,1050658
6,600668,-658181,1,1050658
7,500630,4,-754437,1050658
8,389,624,-855697,1050658
9,250594,5,-685679,4,1050658
10,-149313,3,-776931,9,1050658
11,-149352,3,-699431,8,1050658
12,-149319,4,-728201,6,1050658
13,300690,7,-610687,1050658
14,546,6724,-825701,1,1050658
15,50566,63,-785714,5,1050658
16,550508,-718192,4,1050658
17,850697,5,-584410,8,1050658
18,750637,9,-655661,9,1050658
19,550359,8,-491932,9,1050658
20,550598,1,-760689,5,1050658
21,800687,5,-598152,3,1050658
22,550687,1,-461903,2,1050658
23,300657,3,-608163,1,1050658
24,550598,1,-671929,4,1050658
25,550677,6,-499415,7,1050658
26,300590,6,-625692,6,1050658
27,250640,6,-721934,1050658
28,750637,8,-668189,9,1050658
29,-149482,9,-801963,8,1050658
30,50527,47,-768170,9,1050658
31,640,5848,-714452,4,1050658
32,500670,6,-716950,1,1050658
33,-149322,2,-753201,1,1050658
34,50666,88,-660702,1,1050658
35,350604,-614423,1,1050658
36,250510,6,-653174,6,1050658
37,50577,16,-735707,5,1050658
38,550647,3,-649442,6,1050658
39,50587,66,-719444,9,1050658
40,250577,-684413,1,1050658
41,300648,1,-708149,9,1050658
42,50690,06,-719429,2,1050658
43,-149582,1,-748186,8,1050658
44,750657,6,-631987,7,1050658

