Generation,PopBest,PopAvg,BestOverall
0,300478,3,-667002,2,300478,3
1,500622,5,-590742,8,500622,5
2,1000648,-639425,4,1000648
3,550668,1,-718175,5,1000648
4,550627,1,-650672,1,1000648
5,300667,8,-659409,3,1000648
6,750618,1,-590668,1,1000648
7,50647,41,-674417,6,1000648
8,300697,5,-610661,1,1000648
9,550637,7,-588161,9,1000648
10,250654,2,-638164,7,1000648
11,550516,3,-695701,6,1000648
12,1250697,-511919,1,1250697
13,350524,8,-679438,6,1250697
14,300661,8,-683166,8,1250697
15,250647,2,-594447,7,1250697
16,50512,78,-713206,1250697
17,300529,7,-683211,7,1250697
18,750547,8,-659458,4,1250697
19,250677,9,-630686,9,1250697
20,50516,78,-764471,1,1250697
21,300687,8,-705716,3,1250697
22,750499,8,-551926,4,1250697
23,800590,6,-530681,4,1250697
24,750597,4,-648176,8,1250697
25,50671,13,-739423,9,1250697
26,750697,9,-574411,2,1250697
27,500501,-616907,1,1250697
28,50515,5,-725662,4,1250697
29,300677,8,-651925,1,1250697
30,300617,3,-635658,6,1250697
31,550611,3,-684419,3,1250697
32,1300517,-586943,6,1300517
33,100533,3,-753211,5,1300517
34,550658,-646947,4,1300517
35,1000658,-605669,8,1300517
36,300697,1,-574430,8,1300517
37,500577,6,-550690,1,1300517
38,300615,4,-639416,8,1300517
39,1300628,-658174,3,1300628
40,750696,8,-660689,8,1300628
41,300676,9,-619419,1,1300628
42,550639,8,-593190,3,1300628
43,300697,6,-648197,8,1300628
44,500684,1,-539425,9,1300628

