Generation,PopBest,PopAvg,BestOverall
0,50510,19,-698238,7,50510,19
1,250559,7,-684435,1,250559,7
2,250625,9,-666963,6,250625,9
3,500647,9,-656910,7,500647,9
4,500607,9,-613172,7,500647,9
5,750690,6,-555652,4,750690,6
6,1250678,-736886,8,1250678
7,500657,9,-601900,9,1250678
8,1300598,-348145,1300598
9,1300698,-415636,7,1300698
10,1300608,-349399,9,1300698
11,750567,8,-571891,6,1300698
12,2300638,-215646,3,2300638
13,500597,7,-485654,9,2300638
14,750647,6,-556894,6,2300638
15,600697,6,-551917,8,2300638
16,1800357,-529447,4,2300638
17,300520,9,-604437,2300638
18,1250564,-545669,1,2300638
19,850664,8,-620688,6,2300638
20,350597,1,-586909,1,2300638
21,500512,8,-655672,6,2300638
22,50585,63,-686949,2,2300638
23,250512,-690676,3,2300638
24,500510,6,-575663,5,2300638
25,300566,1,-628188,9,2300638
26,250663,3,-619407,8,2300638
27,250691,2,-606908,9,2300638
28,300642,8,-634404,5,2300638
29,250672,9,-765653,6,2300638

