Generation,PopBest,PopAvg,BestOverall
0,50616,53,-684510,4,50616,53
1,-149392,4,-764425,6,50616,53
2,750597,9,-649441,9,750597,9
3,1250577,-534408,4,1250577
4,750541,3,-501903,2,1250577
5,300602,4,-645665,1,1250577
6,500646,5,-633180,1,1250577
7,550665,3,-616934,4,1250577
8,300640,8,-673151,5,1250577
9,500572,8,-655710,2,1250577
10,1050657,-585710,4,1250577
11,550628,1,-569436,1,1250577
12,500676,8,-533138,8,1250577
13,100517,1,-566902,3,1250577
14,250687,8,-539419,1,1250577
15,500686,4,-566927,4,1250577
16,250609,8,-640713,6,1250577
17,-149369,7,-755680,6,1250577
18,500628,-674443,8,1250577
19,1000628,-608159,8,1250577
20,300537,9,-584399,7,1250577
21,300616,9,-570670,4,1250577
22,250547,3,-610662,5,1250577
23,550618,1,-528151,1250577
24,350507,9,-633146,3,1250577
25,750647,4,-435640,4,1250577
26,300618,1,-565657,7,1250577
27,300627,8,-579393,4,1250577
28,300687,3,-598146,9,1250577
29,550567,3,-676897,6,1250577

