Generation,PopBest,PopAvg,BestOverall
0,-149492,6,-835747,2,-149492,6
1,300547,2,-601927,8,300547,2
2,500596,6,-604387,3,500596,6
3,300667,4,-524422,6,500596,6
4,250648,1,-610677,3,500596,6
5,1000538,-534403,1,1000538
6,750627,7,-506900,7,1000538
7,500547,9,-659397,6,1000538
8,300616,8,-490644,5,1000538
9,550625,1,-544396,1000538
10,1250506,-501892,3,1250506
11,250638,1,-650643,9,1250506
12,300587,8,-646892,9,1250506
13,350604,9,-606912,2,1250506
14,300620,6,-531909,9,1250506
15,750630,7,-646902,6,1250506
16,1000608,-576890,1,1250506
17,500667,8,-690652,6,1250506
18,550537,9,-571902,6,1250506
19,550613,4,-706887,1,1250506
20,550667,9,-491908,7,1250506
21,1850687,-506912,4,1850687
22,550547,4,-575656,8,1850687
23,300587,1,-498147,9,1850687
24,1050538,-461893,3,1850687
25,1100617,-528150,4,1850687
26,1050597,-566932,9,1850687
27,2300678,-598170,6,2300678
28,300627,4,-629419,4,2300678
29,1000698,-539412,6,2300678

