Generation,PopBest,PopAvg,BestOverall
0,630,3494,-705732,1,630,3494
1,670,6261,-733193,7,670,6261
2,1000507,-584431,1,1000507
3,50670,22,-650674,9,1000507
4,1000668,-513165,9,1000668
5,550630,7,-651932,9,1000668
6,250532,4,-714436,3,1000668
7,300668,1,-571943,1,1000668
8,500648,1,-581912,7,1000668
9,550628,1,-668151,1,1000668
10,500607,8,-603150,7,1000668
11,550598,1,-530649,8,1000668
12,500668,1,-496899,6,1000668
13,250535,-510688,3,1000668
14,100547,8,-535673,1,1000668
15,300690,4,-640669,8,1000668
16,750608,-506905,6,1000668
17,500597,8,-705663,6,1000668
18,1000608,-581923,2,1000668
19,300585,8,-639437,4,1000668
20,350677,8,-528162,9,1000668
21,250537,2,-590657,8,1000668
22,300584,8,-616899,6,1000668
23,550617,9,-474415,9,1000668
24,1000548,-491908,3,1000668
25,550647,4,-560659,8,1000668
26,750515,8,-568157,2,1000668
27,300637,3,-629427,4,1000668
28,300606,2,-581915,9,1000668
29,1250658,-510655,1,1250658

